Pattern,Response
,Maaf tidak tahu
,saya tidak tahu
,kata diluar kemampuan kami
,"kami tidak tahu, mungkin anda bisa menanyakan mengenai penyakit radang usus buntu"
,mungkin anda bisa menanyakan mengenai aplikasi ini
,Maaf tidak tahu
,saya tidak tahu
,kata diluar kemampuan kami
,"kami tidak tahu, mungkin anda bisa menanyakan mengenai penyakit radang usus buntu"
,mungkin anda bisa menanyakan mengenai aplikasi ini
,Maaf tidak tahu
,saya tidak tahu
,kata diluar kemampuan kami
,"kami tidak tahu, mungkin anda bisa menanyakan mengenai penyakit radang usus buntu"
,mungkin anda bisa menanyakan mengenai aplikasi ini
,Maaf tidak tahu
,saya tidak tahu
,kata diluar kemampuan kami
,"kami tidak tahu, mungkin anda bisa menanyakan mengenai penyakit radang usus buntu"
,mungkin anda bisa menanyakan mengenai aplikasi ini
,Maaf tidak tahu
,saya tidak tahu
,kata diluar kemampuan kami
,"kami tidak tahu, mungkin anda bisa menanyakan mengenai penyakit radang usus buntu"
,mungkin anda bisa menanyakan mengenai aplikasi ini
Halo,"Halo, ada yang bisa saya bantu?"
Halo,"Hai, ada yang ingin Anda tanyakan?"
Halo,Bagaimana saya bisa membantu hari ini?
Halo,Apa yang bisa saya lakukan untuk Anda?
Halo,Ada yang spesifik yang ingin Anda ketahui?
Halo,Apakah Anda membutuhkan bantuan hari ini?
Halo,"halo, silahkan bertanya"
Halo,"Saya hanya program komputer, tetapi siap membantu Anda"
Halo,Silahkan Jangan ragu untuk bertanya jika ada yang perlu Anda tanyakan.
Halo,"Tentu, saya di sini untuk membantu Anda."
Halo,Apa yang mau Anda ketahui?
Halo,silahkan tanyakan saja
Halo,ada yang bisa saya bantu?
Hai,"Halo, ada yang bisa saya bantu?"
Hai,"Hai, ada yang ingin Anda tanyakan?"
Hai,Bagaimana saya bisa membantu hari ini?
Hai,Apa yang bisa saya lakukan untuk Anda?
Hai,Ada yang spesifik yang ingin Anda ketahui?
Hai,Apakah Anda membutuhkan bantuan hari ini?
Hai,"halo, silahkan bertanya"
Hai,"Saya hanya program komputer, tetapi siap membantu Anda"
Hai,Silahkan Jangan ragu untuk bertanya jika ada yang perlu Anda tanyakan.
Hai,"Tentu, saya di sini untuk membantu Anda."
Hai,Apa yang mau Anda ketahui?
Hai,silahkan tanyakan saja
Hai,ada yang bisa saya bantu?
Selamat pagi,"Halo, ada yang bisa saya bantu?"
